year,stage,home_team,away_team,home_score,away_score,outcome,winning_team,date
1930,Group 1,France,Mexico,4,1,H,France,1930-07-13
1930,Group 4,Belgium,United States,0,3,A,United States,1930-07-13
1930,Group 2,Brazil,Yugoslavia,1,2,A,Yugoslavia,1930-07-14
1930,Group 3,Peru,Romania,1,3,A,Romania,1930-07-14
1930,Group 1,Argentina,France,1,0,H,Argentina,1930-07-15
1930,Group 1,Chile,Mexico,3,0,H,Chile,1930-07-16
1930,Group 2,Bolivia,Yugoslavia,0,4,A,Yugoslavia,1930-07-17
1930,Group 4,Paraguay,United States,0,3,A,United States,1930-07-17
1930,Group 3,Uruguay,Peru,1,0,H,Uruguay,1930-07-18
1930,Group 1,Argentina,Mexico,6,3,H,Argentina,1930-07-19
1930,Group 1,Chile,France,1,0,H,Chile,1930-07-19
1930,Group 4,Belgium,Paraguay,0,1,A,Paraguay,1930-07-20
1930,Group 2,Bolivia,Brazil,0,4,A,Brazil,1930-07-20
1930,Group 3,Uruguay,Romania,4,0,H,Uruguay,1930-07-21
1930,Group 1,Argentina,Chile,3,1,H,Argentina,1930-07-22
1930,Semifinals,Argentina,United States,6,1,H,Argentina,1930-07-26
1930,Semifinals,Uruguay,Yugoslavia,6,1,H,Uruguay,1930-07-27
1930,Final,Uruguay,Argentina,4,2,H,Uruguay,1930-07-30
1934,Round of 16,Argentina,Sweden,2,3,A,Sweden,1934-05-27
1934,Round of 16,Austria,France,3,2,H,Austria,1934-05-27
1934,Round of 16,Belgium,Germany,2,5,A,Germany,1934-05-27
1934,Round of 16,Brazil,Spain,1,3,A,Spain,1934-05-27
1934,Round of 16,Czechoslovakia,Romania,2,1,H,Czechoslovakia,1934-05-27
1934,Round of 16,Egypt,Hungary,2,4,A,Hungary,1934-05-27
1934,Round of 16,Italy,United States,7,1,H,Italy,1934-05-27
1934,Round of 16,Netherlands,Switzerland,2,3,A,Switzerland,1934-05-27
1934,Quarterfinals,Austria,Hungary,2,1,H,Austria,1934-05-31
1934,Quarterfinals,Czechoslovakia,Switzerland,3,2,H,Czechoslovakia,1934-05-31
1934,Quarterfinals,Germany,Sweden,2,1,H,Germany,1934-05-31
1934,Quarterfinals,Italy,Spain,1,1,D,Tied,1934-05-31
1934,Quarterfinals,Italy,Spain,1,0,H,Italy,1934-06-01
1934,Semifinals,Czechoslovakia,Germany,3,1,H,Czechoslovakia,1934-06-03
1934,Semifinals,Italy,Austria,1,0,H,Italy,1934-06-03
1934,Third place,Austria,Germany,2,3,A,West Germany,1934-06-07
1934,Final,Italy,Czechoslovakia,2,1,H,Italy,1934-06-10
1938,Round of 16,Germany,Switzerland,1,1,D,Tied,1938-06-04
1938,Round of 16,Brazil,Poland,6,5,H,Brazil,1938-06-05
1938,Round of 16,Cuba,Romania,3,3,D,Tied,1938-06-05
1938,Round of 16,Czechoslovakia,Netherlands,3,0,H,Czechoslovakia,1938-06-05
1938,Round of 16,France,Belgium,3,1,H,France,1938-06-05
1938,Round of 16,Hungary,Dutch West Indies,6,0,H,Hungary,1938-06-05
1938,Round of 16,Italy,Norway,2,1,H,Italy,1938-06-05
1938,Round of 16,Cuba,Romania,2,1,H,Cuba,1938-06-09
1938,Round of 16,Germany,Switzerland,2,4,A,Switzerland,1938-06-09
1938,Quarterfinals,Brazil,Czechoslovakia,1,1,D,Tied,1938-06-12
1938,Quarterfinals,Cuba,Sweden,0,8,A,Sweden,1938-06-12
1938,Quarterfinals,France,Italy,1,3,A,Italy,1938-06-12
1938,Quarterfinals,Hungary,Switzerland,2,0,H,Hungary,1938-06-12
1938,Quarterfinals,Brazil,Czechoslovakia,2,1,H,Brazil,1938-06-14
1938,Semifinals,Brazil,Italy,1,2,A,Italy,1938-06-16
1938,Semifinals,Hungary,Sweden,5,1,H,Hungary,1938-06-16
1938,Third place,Brazil,Sweden,4,2,H,Brazil,1938-06-19
1938,Final,Hungary,Italy,2,4,A,Italy,1938-06-19
1950,Group 1,Brazil,Mexico,4,0,H,Brazil,1950-06-24
1950,Group 2,Chile,England,0,2,A,England,1950-06-25
1950,Group 3,Italy,Sweden,2,3,A,Sweden,1950-06-25
1950,Group 2,Spain,United States,3,1,H,Spain,1950-06-25
1950,Group 1,Switzerland,Yugoslavia,0,3,A,Yugoslavia,1950-06-25
1950,Group 1,Brazil,Switzerland,2,2,D,Tied,1950-06-28
1950,Group 1,Mexico,Yugoslavia,1,4,A,Yugoslavia,1950-06-28
1950,Group 2,Chile,Spain,0,2,A,Spain,1950-06-29
1950,Group 2,England,United States,0,1,A,United States,1950-06-29
1950,Group 3,Paraguay,Sweden,2,2,D,Tied,1950-06-29
1950,Group 1,Brazil,Yugoslavia,2,0,H,Brazil,1950-07-01
1950,Group 4,Bolivia,Uruguay,0,8,A,Uruguay,1950-07-02
1950,Group 2,Chile,United States,5,2,H,Chile,1950-07-02
1950,Group 2,England,Spain,0,1,A,Spain,1950-07-02
1950,Group 3,Italy,Paraguay,2,0,H,Italy,1950-07-02
1950,Group 1,Mexico,Switzerland,1,2,A,Switzerland,1950-07-02
1950,Final Round,Brazil,Sweden,7,1,H,Brazil,1950-07-09
1950,Final Round,Spain,Uruguay,2,2,D,Tied,1950-07-09
1950,Final Round,Brazil,Spain,6,1,H,Brazil,1950-07-13
1950,Final Round,Sweden,Uruguay,2,3,A,Uruguay,1950-07-13
1950,Final Round,Brazil,Uruguay,1,2,A,Uruguay,1950-07-16
